ID,DE_F,RU
ABAT_0001_I_0001_1,Willkommen zum Adaptiven Beat-Wahrnehmungs-Test!,Добро пожаловать! Этот тест определяет Ваше чувство ритма!
ABAT_0002_I_0001_1,"Dieser Test erfasst Ihre Fähigkeit, den Beat (das Metrum/den Puls) in einem Musikausschnitt wahrzunehmen.\\ Ihnen werden einige Musikclips vorgespielt. In jedem Clip hören Sie zusätzlich zur Musik einen **Beep-Ton** (ein Metronom).\\ Ihre Aufgabe ist es, zu entscheiden, ob der Beep-Ton genau **auf** (ON) oder leicht **neben** (OFF) dem Beat (dem Metrum/dem Puls) in der Musik ist.","Этот тест определяет вашу способность распознавать музыкальные ритмы.\\ Вы услышите  короткие музыкальные отрывки. Во время проигрывания отрывка вы услышите короткие звуковые сигналы.\\ Ваша задача - определить, совпадает ли ритм сигнала с ритмом музыки." 
ABAT_0003_I_0001_1,Klicken Sie auf 'Weiter', um ein paar Beispiele zu hören.,"Нажмите ""продолжить"", чтобы перейти к примерам"
ABAT_0004_I_0001_1,Beispiel - **Auf** dem Beat (ON)\\In diesem Beispiel sind die Beep-Töne **auf** dem Beat der Musik.,Пример - **совпадающие** ритмы\\В этом пример ритм сигнала совпадает с ритмом музыки.
ABAT_0005_I_0001_1,Ihr Beatwahrnehmungs-IQ war:,Ваша способность распознавать ритмы:
ABAT_0006_I_0001_1,Beispiel - **Neben** dem Beat (OFF)\\In diesem Beispiel sind die Beep-Töne **neben** dem Beat der Musik.,Пример - **несовпадающие** ритмы\\В этом пример ритм сигнала не совпадает с ритмом музыки.
ABAT_0007_I_0001_1,Beatwahrnehmungs-IQ, способность распознавать ритмы
ABAT_0008_I_0001_1,In diesem Test hören Sie  zwei Versionen desselben Musikausschnittes.\\ In einer Version sind die Beep-Töne **auf** dem Beat, in der anderen **neben** dem Beat. \\Entscheidem Sie, ob in der ersten oder der zweiten Version die Beep-Töne **auf** dem Beat waren.,В этом тесте вы услышите две версии одного и того же музыкального отрывка одну за другой.\\В одной версии ритм сигнала будет совпадать с ритмом музыки, а в другой - нет.\\Ваша задача - определить, в какой из версий ритм сигнала совпадал с ритмом музыки.\\ 
ABAT_0009_I_0001_1,**Beispiel {{no_example}}/2**\\In welcher Version sind die Beep-Töne **auf** dem Beat?,**Пример задания {{no_example}}/2**\\В какой из версий ритм сигнала совпадал с ритмом музыки?
ABAT_0010_I_0001_1,Erste,В первой
ABAT_0011_I_0001_1,Richtig!,Верно! 
ABAT_0012_I_0001_1,**{{feedback}}**\\Klicken Sie auf 'Weiter' für ein weiteres Beispiel.,"**{{feedback}}**\\Нажмите ""продолжить"", чтобы перейти к следующему примеру."
ABAT_0013_I_0001_1,Falsch.,Неверно.
ABAT_0014_I_0001_1,**{{feedback}}**\\Klicken Sie auf 'Zurück', um die Anweisungen erneut zu lesen und die Beispiele erneut zu versuchen,\\ oder klicken Sie auf 'Weiter', um zum  Haupttest zu gelangen.,"**{{feedback}}**\\Нажмите ""назад"", чтобы увидеть инструкцию и прослушать примеры еще раз,\\или нажмите ""продолжить"", чтобы перейти к тесту. "
ABAT_0015_I_0001_1,Zweite,Во второй
ABAT_0016_I_0001_1,Nun geht es mit dem Haupttest los, in dem Ihre Ergebnisse gespeichert werden.\\ Ab jetzt bekommen Sie keine Rückmeldung mehr. Viel Erfolg!,Сейчас начнется тест, во время которого ваши ответы будут записаны.\\Во время теста вам не будет сообщаться, верно или неверно вы ответили. Удачи!
ABAT_0017_I_0001_1,Frage **{{num_question}}** von **{{test_length}}**,Задание {{num_question}} из {{test_length}}
ABAT_0018_I_0001_1,Ihr Browser unterstützt kein Audio. Dieser Test funktioniert nicht ohne Audio, sorry!,Ваш браузер не поддерживает аудиозаписи. Тест не может быть воспроизведен. 
ABAT_0019_I_0001_1,In einer der Versionen sind die Beep-Töne auf dem Beat, in der anderen neben dem Beat.\\In welcher Version waren die Beep-Töne **auf** dem Beat?\\Wenn Sie sich nicht sicher sind, entscheiden Sie aus dem Bauch heraus.,В одном из отрывков ритм сигнала совпадает с ритмом музыки, а в другом - не совпадает.\\ В каком из отрывков ритмы совпадали? Если не уверены, попробуйте угадать! 
ABAT_0020_I_0001_1,Sie haben den Beat-Wahrnehmungs-Test abgeschlossen.,Вы завершили тест на распознавание ритмов! 
ABAT_0021_I_0001_1,Weiter,Продолжить
ABAT_0022_I_0001_1,Zurück,Назад
enter_p_id,Bitte geben Sie Ihre Teilnehmer-ID ein.,Введите логин участника.
results_have_been_saved,Ihre Ergebnisse sind gespeichert.,Ваш результат записан.
you_may_close_browser,Sie können dieses Fenster jetzt schließen.,Теперь можно закрыть окно браузера.
demo_intro,"Willkommen zum **Adaptiven Beat-Wahrnehmungs-Test**!\\Dieser Test passt sich an Deine Leistung an. Je mehr richtige Antworten Du gibst, desto schwieriger werden die nächsten Stimuli.\\In echten Testanwendungen läuft dieser adaptiver Mechanismus unsichtbar im Hintergrund. Aber in dieser Demoanwendung werden Dir bei jedem Durchgang Deine geschätzte Testfähigkeit (""ability"") und die Schwierigkeit des Stimulus (""difficulty"") angezeigt. ","Welcome to the **Computerised Adaptive Beat Alignment Test**!\\This test adapts to your performance. If you do well, you will be given harder items.\\Usually this adaptive procedure is hidden from the participant. For this demonstration, however, we will show your running ability score and corresponding difficulty level on each trial."
